caseid,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
10092,76,2,124191,12,14,2,3,0,4,1,0,0,40,38,1
10093,44,2,198282,9,13,2,3,0,4,1,15024,0,60,38,1
10094,47,4,149116,12,14,4,9,1,4,0,0,0,50,38,0
10095,20,2,188300,15,10,4,12,3,4,0,0,0,40,38,0
10096,29,2,103432,11,9,4,2,1,4,1,0,0,40,38,0
10097,32,3,317660,11,9,2,2,0,4,1,7688,0,40,38,1
10098,30,2,194901,1,7,4,5,3,4,1,0,0,40,38,0
10099,31,1,189265,11,9,4,0,1,4,0,0,0,40,38,0
10100,42,2,124692,11,9,2,5,0,4,1,0,0,40,38,0
10101,24,2,432376,9,13,4,11,2,4,1,0,0,40,38,0
10102,38,2,65324,14,15,2,9,0,4,1,0,0,40,38,1
10103,56,4,335605,11,9,2,7,0,4,1,0,1887,50,1,1
10104,28,2,377869,15,10,2,11,5,4,0,4064,0,25,38,0
10105,36,2,102864,11,9,4,6,3,4,0,0,0,40,38,0
10106,53,2,95647,6,5,2,5,0,4,1,0,0,50,38,0
10107,56,3,303090,15,10,2,11,0,4,1,0,0,50,38,0
10108,49,1,197371,8,11,2,2,0,2,1,0,0,40,38,1
10109,55,2,247552,15,10,2,11,0,4,1,0,0,56,38,0
10110,22,2,102632,11,9,4,2,1,4,1,0,0,41,38,0
10111,21,2,199915,15,10,4,7,3,4,0,0,0,40,38,0
10112,40,2,118853,9,13,2,3,0,4,1,0,0,60,38,0
10113,30,2,77143,9,13,4,3,3,2,1,0,0,40,10,0
10114,29,5,267989,9,13,2,9,0,4,1,0,0,50,38,1
10115,19,2,301606,15,10,4,7,3,2,1,0,0,35,38,0
10116,47,2,287828,9,13,2,3,5,4,0,0,0,40,38,1
10117,20,2,111697,15,10,4,0,3,4,0,0,1719,28,38,0
10118,31,2,114937,7,12,2,0,0,4,1,0,0,40,38,1
10119,39,2,365739,15,10,0,2,1,4,1,0,0,40,38,0
10120,28,2,69621,7,12,4,11,1,4,0,0,0,60,38,0
10121,24,2,43323,11,9,4,7,1,4,0,0,1762,40,38,0
10122,38,4,120985,11,9,2,2,0,4,1,4386,0,35,38,0
10123,37,2,254202,9,13,2,11,0,4,1,0,0,50,38,0
10124,46,2,146195,7,12,0,12,1,2,0,0,0,36,38,0
10125,38,0,125933,12,14,2,9,0,4,1,0,0,40,19,1
10126,43,4,56920,11,9,2,2,0,4,1,0,0,60,38,0
10127,27,2,163127,8,11,2,0,5,4,0,0,0,35,38,0
10128,20,2,34310,15,10,4,11,3,4,1,0,0,20,38,0
10129,49,2,81973,15,10,2,2,0,1,1,0,0,40,38,1
10130,61,3,66614,11,9,2,2,0,4,1,0,0,40,38,0
10131,27,2,232782,15,10,4,11,3,4,0,0,0,40,38,0
10132,19,2,316868,15,10,4,7,3,4,1,0,0,30,25,0
10133,45,2,196584,8,11,4,9,1,4,0,0,1564,40,38,1
10134,70,2,105376,15,10,4,12,2,4,1,0,0,40,38,0
10135,31,2,185814,11,9,4,13,4,2,0,0,0,30,38,0
10136,22,2,175374,15,10,2,7,0,4,1,0,0,24,38,0
10137,36,2,108293,11,9,6,7,4,4,0,0,0,24,38,0
10138,64,2,181232,1,7,2,2,0,4,1,0,2179,40,38,0
10139,47,1,186009,15,10,0,0,4,4,0,0,0,38,25,0
10140,34,2,198183,11,9,4,0,1,4,0,0,0,40,38,0
10141,33,2,163003,9,13,4,3,2,1,0,0,0,40,29,0
10142,21,2,296158,11,9,4,2,3,4,1,0,0,35,38,0
10143,48,2,187715,11,9,2,2,0,4,1,0,0,46,38,0
10144,23,2,214542,9,13,4,5,1,4,1,0,0,40,38,0
10145,71,4,494223,15,10,5,11,4,2,1,0,1816,2,38,0
10146,29,2,191535,11,9,0,2,1,4,1,0,0,60,38,0
10147,42,2,228456,9,13,5,7,2,2,1,0,0,50,38,0
10148,25,2,252752,11,9,4,7,4,4,0,0,0,40,38,0
10149,44,3,78374,12,14,0,3,4,1,0,0,0,40,38,0
10150,28,2,88419,11,9,4,3,1,1,0,0,0,40,8,0
10151,45,4,201080,12,14,2,11,0,4,1,0,0,40,38,1
10152,36,2,207157,15,10,0,7,4,4,0,0,0,40,25,0
10153,39,0,235485,7,12,4,3,1,4,1,0,0,42,38,0
10154,46,5,102628,12,14,6,10,4,4,1,0,0,40,38,0
10155,18,2,25828,1,7,4,5,3,4,1,0,0,16,38,0
10156,66,1,54826,8,11,6,9,1,4,0,0,0,20,38,0
10157,27,2,124953,11,9,4,7,1,4,1,0,1980,40,38,0
10158,28,5,175325,11,9,2,10,0,4,1,0,0,40,38,0
10159,51,2,96062,15,10,2,11,0,4,1,0,1977,40,38,1
10160,27,2,428030,9,13,4,2,1,4,1,0,0,50,38,0
10161,28,5,149624,9,13,2,9,0,4,1,0,0,40,38,1
10162,27,2,253814,11,9,3,11,4,4,0,0,0,25,38,0
10163,21,2,312956,11,9,4,2,3,2,1,0,0,40,38,0
10164,34,2,483777,11,9,4,5,1,2,1,0,0,40,38,0
10165,18,2,183930,11,9,4,7,3,4,1,0,0,12,38,0
10166,33,2,37274,9,13,2,9,0,4,1,0,0,65,38,0
10167,44,1,181344,15,10,2,3,0,2,1,0,0,38,38,1
10168,43,2,114580,15,10,0,0,1,4,0,0,0,40,38,0
10169,30,2,633742,15,10,4,2,1,2,1,0,0,45,38,0
10170,40,2,286370,5,4,2,6,0,4,1,0,0,40,25,1
10171,37,0,29054,15,10,2,0,0,4,1,0,0,42,38,1
10172,34,2,304030,11,9,2,0,0,2,1,0,0,40,38,0
10173,41,4,143129,9,13,0,3,1,4,0,0,0,40,38,0
10174,31,2,99928,12,14,2,9,5,4,0,0,0,50,38,0
10175,58,5,109567,10,16,2,9,0,4,1,0,0,1,38,1
10176,38,2,155222,15,10,0,6,1,2,0,0,0,28,38,0
10177,24,2,159567,15,10,2,6,0,4,1,0,0,40,38,0
10178,41,1,523910,9,13,2,2,0,2,1,0,0,40,38,0
10179,47,2,120939,15,10,2,12,0,4,1,0,0,45,38,0
10180,41,0,130760,9,13,2,12,0,4,1,0,0,24,38,0
10181,23,2,197387,4,3,2,13,2,4,1,0,0,40,25,0
10182,36,2,99374,15,10,0,2,1,4,1,0,0,40,38,0
10183,40,0,56795,12,14,4,3,1,4,0,14084,0,55,38,1
10184,35,2,138992,12,14,2,9,2,4,1,7298,0,40,38,1
10185,24,4,32921,11,9,4,11,1,4,1,0,0,40,38,0
10186,26,2,397317,12,14,4,9,1,4,0,0,1876,40,38,0
10187,51,2,259323,9,13,2,3,0,4,1,0,0,50,38,1
10188,42,1,254817,15,10,4,9,1,4,0,0,1340,40,38,0
10189,37,5,48211,11,9,0,0,4,4,0,0,0,35,38,0
10190,18,2,140164,1,7,4,11,3,4,0,0,0,40,38,0
10191,36,2,128757,9,13,2,7,0,2,1,7298,0,36,38,1
10192,35,2,36270,11,9,0,2,1,4,1,0,0,60,38,0
10193,58,3,210563,11,9,2,11,5,4,0,15024,0,35,38,1
10194,17,2,65368,1,7,4,11,3,4,0,0,0,12,38,0
10195,44,1,160943,11,9,2,13,0,2,1,0,0,40,38,0
10196,37,2,208358,11,9,2,2,0,4,1,0,0,40,38,1
10197,35,2,153790,15,10,4,11,1,0,0,0,0,40,38,0
10198,60,2,85815,11,9,2,2,0,1,1,0,0,40,38,0
10199,54,3,125417,5,4,2,6,0,4,1,0,0,40,38,1
10200,37,2,635913,9,13,4,3,1,2,1,0,0,60,38,1
10201,50,2,313321,7,12,0,11,1,4,0,0,0,40,38,0
10202,38,2,182609,9,13,2,11,0,4,1,0,0,50,30,0
10203,45,2,109434,9,13,2,9,0,4,1,0,0,55,38,0
10204,25,2,255004,0,6,4,2,1,4,1,0,0,40,38,0
10205,31,2,197860,15,10,2,5,0,4,1,0,0,40,38,0
10206,90,2,51744,11,9,4,7,1,2,1,0,2206,40,38,0
10207,54,2,176681,11,9,2,0,0,2,1,0,0,20,38,0
10208,53,1,140359,13,1,4,6,1,4,0,0,0,35,38,0
10209,18,2,243313,11,9,4,11,3,4,0,0,0,40,38,0
10210,66,4,167687,11,9,2,4,0,4,1,1409,0,50,38,0
10211,75,2,314209,8,11,6,0,1,4,0,0,0,20,3,0
10212,65,2,176796,11,9,0,0,1,4,0,0,0,40,38,0
10213,35,2,538583,1,7,5,13,1,2,1,3674,0,40,38,0
10214,41,2,130408,11,9,0,11,4,2,0,0,0,38,38,0
10215,25,2,159732,15,10,4,0,1,4,1,0,0,42,38,0
10216,33,2,110978,15,10,0,2,2,3,0,0,0,40,38,0
10217,28,2,76714,14,15,4,9,1,4,1,0,0,55,38,1
10218,59,5,268700,11,9,2,7,0,4,1,0,0,40,38,0
10219,40,5,170525,15,10,4,0,1,4,0,0,0,38,38,0
10220,41,2,180138,9,13,2,3,0,4,1,0,0,50,19,1
10221,38,1,115076,12,14,2,3,0,4,1,0,0,70,38,1
10222,23,2,115458,11,9,4,13,3,4,1,0,0,40,38,0
10223,40,2,347890,9,13,2,9,0,4,1,0,0,40,38,1
10224,41,4,196001,11,9,2,7,5,4,0,0,0,20,38,0
10225,24,5,273905,7,12,2,10,0,4,1,0,0,50,38,0
10226,38,2,179488,15,10,0,2,1,4,1,0,1741,40,38,0
10227,58,2,236596,11,9,2,0,0,4,1,0,0,45,38,1
10228,32,2,183916,11,9,4,7,1,4,0,0,0,34,38,0
10229,40,2,207578,7,12,2,12,0,4,1,0,1977,60,38,1
10230,41,2,112763,14,15,2,9,5,4,0,0,0,40,38,1
10231,42,2,390781,9,13,2,0,5,2,0,0,0,40,38,0
10232,59,1,171328,0,6,6,7,4,2,0,0,0,30,38,0
10233,19,1,27382,15,10,4,0,3,4,1,0,0,40,38,0
10234,58,2,259014,15,10,4,13,1,4,1,0,0,20,38,0
10235,42,4,303044,11,9,2,4,0,1,1,0,0,40,0,1
10236,20,2,117789,11,9,4,7,3,4,0,0,0,40,38,0
10237,32,2,172579,11,9,5,7,1,4,0,0,0,30,38,0
10238,45,2,187666,8,11,6,3,1,4,0,0,0,45,38,0
10239,50,2,204518,5,4,0,2,1,4,1,0,0,40,38,0
10240,36,2,150042,9,13,0,9,3,4,0,0,0,40,38,0
10241,45,2,98092,11,9,2,11,0,4,1,0,0,60,38,0
10242,17,2,245918,1,7,4,7,3,4,1,0,0,12,38,0
10243,59,2,146013,15,10,2,11,0,4,1,4064,0,40,38,0
10244,26,2,378322,1,7,2,2,0,4,1,0,0,40,38,0
10245,37,3,257295,15,10,2,3,0,1,1,0,0,75,36,1
10246,64,2,21174,11,9,2,3,0,4,1,0,0,40,38,1
10247,33,2,185480,9,13,4,9,1,4,0,0,0,45,38,0
10248,33,2,222205,11,9,2,2,5,4,0,0,0,40,38,1
10249,61,2,69867,11,9,2,3,0,4,1,0,0,40,38,1
10250,17,2,191260,6,5,4,7,3,4,1,1055,0,24,38,0
10251,50,4,30653,12,14,2,4,0,4,1,2407,0,98,38,0
10252,27,1,209109,12,14,4,9,3,4,1,0,0,35,38,0
10253,30,2,70377,11,9,0,9,3,4,0,0,0,40,38,0
10254,43,2,477983,11,9,2,5,0,2,1,0,0,40,38,0
10255,44,2,170924,15,10,2,2,0,4,1,7298,0,40,38,1
10256,35,2,190174,15,10,4,3,1,4,0,0,0,40,38,0
10257,25,2,193787,15,10,4,12,3,4,0,0,0,40,38,0
10258,24,2,279472,15,10,2,6,5,4,0,7298,0,48,38,1
10259,22,2,34918,9,13,4,9,1,4,0,0,0,15,10,0
10260,42,1,97688,15,10,2,2,0,4,1,5178,0,40,38,1
10261,34,2,175413,7,12,0,11,4,2,0,0,0,45,38,0
10262,60,2,173960,9,13,0,9,1,4,0,0,0,42,38,0
10263,21,2,205759,11,9,4,5,3,4,1,0,0,40,38,0
10264,57,0,425161,12,14,2,11,0,4,1,15024,0,40,38,1
10265,41,2,220531,14,15,2,9,0,4,1,0,0,60,38,1
10266,50,2,176609,15,10,0,7,1,4,1,0,0,45,38,0
10267,25,2,371987,9,13,4,3,1,4,0,0,0,40,38,0
10268,50,2,193884,5,4,2,2,0,4,1,0,0,40,6,0
10269,36,2,200352,9,13,2,9,0,4,1,0,0,45,38,0
10270,31,2,127595,11,9,0,9,1,4,0,0,0,40,38,0
10271,29,1,220419,9,13,4,10,1,4,1,0,0,56,38,0
10272,21,2,231931,15,10,4,11,3,4,1,0,0,45,38,0
10273,27,2,248402,9,13,4,12,4,2,0,0,0,40,38,0
10274,65,2,111095,11,9,2,13,0,4,1,0,0,16,38,0
10275,37,3,57424,9,13,0,11,1,4,0,0,0,60,38,0
10276,24,2,278130,11,9,4,2,3,4,1,0,0,40,38,0
10277,38,2,169469,11,9,0,11,1,4,1,0,0,80,38,0
10278,48,2,146268,9,13,2,0,0,4,1,7688,0,40,38,1
10279,21,2,153718,15,10,4,7,1,1,0,0,0,25,38,0
10280,31,2,217460,11,9,2,13,0,4,1,0,0,45,38,1
10281,55,2,238638,11,9,2,11,0,4,1,4386,0,40,38,1
10282,24,2,303296,15,10,2,0,5,1,0,0,0,40,24,0
10283,43,2,173321,11,9,0,0,1,4,0,0,0,40,38,0
10284,26,2,193945,7,12,4,12,1,4,1,0,0,45,38,0
10285,46,2,83082,7,12,4,9,1,4,0,0,0,33,38,0
10286,35,2,193815,7,12,2,0,0,4,1,0,0,40,38,1
10287,41,3,34987,15,10,2,4,0,4,1,0,0,54,38,1
10288,26,2,59306,9,13,4,11,1,4,1,0,0,40,38,0
10289,34,2,142897,12,14,2,3,0,1,1,7298,0,35,35,1
10290,36,4,205607,9,13,0,9,1,2,0,0,0,40,38,1
10291,22,2,199698,15,10,4,11,3,4,1,0,0,15,38,0
10292,24,2,191954,15,10,4,6,1,4,1,0,0,40,38,0
10293,77,4,138714,15,10,2,11,0,4,1,0,0,40,38,0
10294,22,2,399087,4,3,2,6,2,4,0,0,0,40,25,0
10295,29,2,423158,15,10,4,12,1,4,0,0,0,40,38,0
10296,62,2,159841,11,9,6,7,1,4,0,0,0,24,38,0
10297,39,4,174308,11,9,2,3,0,4,1,0,0,40,38,0
10298,43,2,50356,15,10,2,2,0,4,1,0,1485,50,38,0
10299,35,2,186110,11,9,0,13,1,4,1,0,0,45,38,0
10300,29,2,200381,1,7,4,3,1,4,0,0,0,40,38,0
10301,76,4,174309,12,14,2,2,0,4,1,0,0,10,38,0
10302,63,4,78383,11,9,2,4,0,4,1,0,0,45,38,0
10303,43,2,187728,15,10,2,9,5,4,0,0,1887,50,38,1
10304,58,4,321171,11,9,2,5,0,4,1,0,0,40,38,0
10305,66,2,127921,11,9,4,13,1,4,1,2050,0,55,38,0
10306,41,2,206565,15,10,4,2,1,2,1,0,0,45,38,0
10307,26,2,224563,9,13,4,0,1,4,1,0,0,40,38,0
10308,47,2,178686,8,11,4,7,1,4,1,0,0,40,38,0
10309,55,1,98545,0,6,2,0,0,4,1,0,0,40,38,0
10310,53,2,242606,11,9,2,13,0,4,1,0,0,40,38,0
10311,17,2,270942,4,3,4,7,2,4,1,0,0,48,25,0
10312,30,2,94235,11,9,4,2,2,4,1,0,0,40,38,0
10313,49,2,71195,12,14,4,9,1,4,1,0,0,60,38,0
10314,19,2,104112,11,9,4,11,4,2,1,0,0,30,13,0
10315,45,2,261192,11,9,2,7,0,2,1,0,0,40,38,0
10316,26,2,94936,7,12,4,11,1,4,1,0,0,40,38,0
10317,38,2,296478,8,11,2,2,0,4,1,7298,0,40,38,1
10318,36,5,119272,11,9,2,10,0,4,1,7298,0,40,38,1
10319,33,2,85043,11,9,4,4,1,4,1,0,0,20,38,0
10320,22,5,293364,15,10,4,10,3,2,0,0,0,40,38,0
10321,43,4,241895,9,13,4,11,1,4,1,0,0,42,38,0
10322,56,2,101128,7,12,3,7,1,4,1,0,0,25,19,0
10323,31,2,156464,9,13,4,9,3,4,1,0,0,25,38,0
10324,33,2,117963,9,13,2,3,0,4,1,0,0,40,38,1
10325,26,2,192262,11,9,2,7,0,4,1,0,0,40,38,0
10326,33,2,111363,9,13,2,3,0,4,1,0,0,40,38,1
10327,46,1,329752,1,7,2,13,0,4,1,0,0,30,38,0
10328,38,0,95432,11,9,2,0,0,4,1,0,0,40,38,1
10329,65,2,161400,1,7,6,7,4,3,1,0,0,40,38,0
10330,40,2,96129,8,11,2,12,0,4,1,0,0,40,38,1
10331,42,2,111949,11,9,2,0,5,4,0,0,0,35,38,0
10332,26,4,117125,6,5,2,2,0,4,1,0,0,40,31,0
10333,36,2,348022,0,6,2,7,5,4,0,0,0,24,38,0
10334,62,2,270092,12,14,2,9,0,4,1,0,0,40,38,1
10335,43,2,180609,9,13,2,13,0,4,1,0,0,45,38,0
10336,43,2,174575,9,13,0,3,1,4,1,0,1564,45,38,1
10337,22,2,410439,11,9,3,11,1,4,1,0,0,55,38,0
10338,28,2,92262,11,9,2,2,0,4,1,0,0,40,38,0
10339,56,4,183081,15,10,2,11,0,4,1,0,0,45,38,0
10340,22,2,362589,7,12,4,11,1,4,0,0,0,15,38,0
10341,57,2,212448,9,13,0,3,1,4,0,0,0,45,38,1
10342,39,2,481060,11,9,0,11,4,4,0,0,0,40,38,0
10343,26,0,185885,15,10,4,0,4,4,0,0,0,15,38,0
10344,17,2,89821,1,7,4,7,3,4,1,0,0,10,38,0
10345,40,5,184018,8,11,2,6,0,4,1,0,0,38,38,1
10346,45,2,256649,11,9,2,6,0,2,1,0,0,40,38,0
10347,44,2,160323,11,9,4,2,1,2,1,0,0,40,38,0
10348,20,1,350845,15,10,4,0,3,4,0,0,0,10,38,0
10349,33,2,267404,11,9,2,2,5,4,0,0,0,40,38,0
10350,23,2,35633,15,10,4,11,1,4,1,0,0,40,38,0
10351,46,4,80914,12,14,0,3,1,4,1,0,0,30,38,0
10352,38,2,172927,11,9,2,11,0,4,1,0,0,50,38,0
10353,54,2,174319,11,9,0,13,1,4,1,0,0,40,38,0
10354,46,2,214955,4,3,0,2,1,4,0,0,2339,45,38,0
10355,25,2,344991,15,10,2,2,0,4,1,0,0,40,38,0
10356,46,2,108699,15,10,0,11,1,4,0,0,0,40,38,0
10357,36,1,117312,15,10,2,13,5,4,0,0,0,40,38,0
10358,23,2,396099,11,9,4,7,1,4,0,0,0,25,38,0
10359,29,2,134152,11,9,5,6,1,4,1,0,0,40,38,0
10360,44,2,162028,15,10,2,0,5,4,0,0,2415,6,38,1
10361,19,2,25429,15,10,4,0,3,4,0,0,0,16,38,0
10362,19,2,232392,11,9,4,7,2,4,0,0,0,40,38,0
10363,35,2,220098,11,9,2,7,5,4,0,0,0,40,38,1
10364,27,2,301302,9,13,4,2,1,4,1,0,0,50,38,0
10365,46,4,277946,7,12,5,2,1,4,1,0,0,40,38,0
10366,34,2,196164,11,9,4,7,1,4,0,0,0,35,38,0
10367,44,2,115562,15,10,2,12,0,4,1,0,0,40,38,0
10368,45,2,96975,15,10,0,5,4,4,0,0,0,40,38,0
10369,25,2,86872,9,13,2,3,0,4,1,0,0,55,38,1
10370,52,3,132178,9,13,2,3,0,4,1,0,0,50,38,1
10371,20,2,416103,15,10,4,5,3,4,1,0,0,40,38,0
10372,28,2,108574,15,10,4,7,1,4,0,0,0,40,38,0
10373,50,5,288353,9,13,2,10,0,4,1,0,0,40,38,1
10374,34,2,227689,8,11,0,12,1,4,0,0,0,64,38,0
10375,28,2,166481,5,4,2,5,0,3,1,0,2179,40,32,0
10376,41,2,445382,12,14,2,3,0,4,1,0,1977,65,38,1
10377,28,2,110145,11,9,2,0,0,4,1,0,0,40,38,0
10378,46,4,317253,11,9,2,2,0,4,1,0,0,25,38,0
10379,32,2,364657,15,10,2,3,0,4,1,0,0,50,38,0
10380,41,1,42346,15,10,0,7,1,2,0,0,0,24,38,0
10381,24,2,241951,11,9,4,5,4,2,0,0,0,40,38,0
10382,33,2,118500,15,10,0,3,4,4,0,0,0,40,38,0
10383,46,2,188386,10,16,2,3,0,4,1,15024,0,60,38,1
10384,31,5,1033222,15,10,2,6,0,4,1,0,0,40,38,0
10385,35,2,92440,2,8,0,2,1,4,1,0,0,50,38,1
10386,52,2,190762,3,2,2,6,0,4,1,0,0,40,25,0
10387,30,2,426017,1,7,4,7,3,4,0,0,0,19,38,0
10388,34,1,243867,1,7,5,6,1,2,1,0,0,40,38,0
10389,34,5,240283,11,9,0,13,4,4,0,0,0,40,38,0
10390,20,2,61777,15,10,2,11,0,4,1,0,0,30,38,0
10391,17,2,175024,1,7,4,5,3,4,1,2176,0,18,38,0
10392,32,5,92003,9,13,2,3,5,4,0,0,0,40,38,1
10393,29,2,188401,11,9,0,4,1,4,1,0,0,40,38,0
10394,33,2,228528,0,6,4,2,4,4,0,0,0,35,38,0
10395,25,2,133373,11,9,2,13,0,4,1,0,0,60,38,0
10396,36,0,255191,12,14,4,9,1,4,1,0,1408,40,38,0
10397,23,2,204653,11,9,4,5,1,4,1,0,0,72,5,0
10398,63,3,222289,11,9,2,3,0,4,1,0,0,40,38,1
10399,47,1,287480,12,14,2,9,0,4,1,0,0,40,38,0
10400,40,4,204116,9,13,3,9,1,4,0,2174,0,40,38,0
10401,30,2,29662,7,12,2,7,5,4,0,0,0,25,38,1
10402,27,2,116358,15,10,4,2,3,1,1,0,1980,40,29,0
10403,33,2,208405,12,14,2,9,0,4,1,0,0,50,38,1
10404,34,1,284843,11,9,4,4,1,2,1,594,0,60,38,0
10405,34,1,117018,15,10,4,10,1,4,0,0,0,40,38,0
